,id,type_of_contract,type_of_contract2,channel,datetime,Term,payment_type,product,amount,state,overdue_count,overdue,credit rating,bank,cancellation,age,Mileage
7,66751017,렌탈,Package,홈쇼핑/방송,2019-10-20,60,카드이체,K2,80400,계약확정,0,없음,1.0,롯데카드,정상,46.57897431638022,
19,66758336,렌탈,Promotion,전자랜드,2019-10-20,60,CMS,K1,111900,계약확정,0,없음,9.0,농협은행,정상,46.39109968733784,
21,66758074,렌탈,Normal,서비스 방문,2019-10-20,60,CMS,K2,87900,계약확정,0,없음,1.0,국민은행,정상,46.57458819125406,
33,66127796,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K2,90900,계약확정,0,없음,1.0,우리은행,정상,46.5728337412036,
54,66757967,렌탈,Promotion,서비스 방문,2019-10-21,60,카드이체,K1,105900,계약확정,0,없음,5.0,롯데카드,정상,46.47933503919503,
60,66758704,렌탈,Promotion,홈플러스,2019-10-21,60,CMS,K1,96900,계약확정,0,없음,6.0,우리은행,정상,46.46341677640735,
93,66758771,렌탈,Normal,서비스 방문,2019-10-21,60,CMS,K1,96900,계약확정,0,없음,1.0,농협은행,정상,46.56932484110268,
101,66420849,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K2,90900,계약확정,0,없음,3.0,외환은행,정상,46.53047051532547,
165,66758456,렌탈,Normal,서비스 방문,2019-10-21,60,CMS,K1,96900,계약확정,0,없음,4.0,우리은행,정상,46.505780002285476,
191,66758799,렌탈,Package,홈쇼핑/방송,2019-10-21,60,카드이체,K1,81900,계약확정,0,없음,1.0,롯데카드,정상,46.578097091354984,
214,66758781,렌탈,Promotion,일반,2019-10-21,60,CMS,K1,96900,계약확정,0,없음,1.0,신한은행,정상,46.56932484110268,
233,66423638,멤버십,TAS,렌탈재계약,2019-10-21,12,CMS,K1,66900,해약확정,0,없음,4.0,농협은행,해약,47.2942399487305,
269,66758700,렌탈,Extension_Rental,서비스 방문,2019-10-21,60,카드이체,K1,102900,계약확정,0,없음,2.0,국민카드,정상,46.544634328062685,
279,66757914,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K1,105900,계약확정,0,없음,5.0,기업은행,정상,46.47933503919503,
372,66753891,렌탈,Package,R인터넷,2019-10-21,60,카드이체,K2,89400,계약확정,0,없음,4.0,롯데카드,정상,46.51016612741164,
403,66383798,렌탈,Promotion,일반,2019-10-21,60,CMS,K1,105900,계약확정,0,없음,2.0,농협은행,정상,46.54287987801222,
406,66227000,멤버십,TAS,렌탈재계약,2019-10-21,12,CMS,K1,66900,계약확정,0,없음,7.0,국민은행,정상,47.230695109913306,
410,66758757,렌탈,Package,홈쇼핑/인터넷,2019-10-21,60,카드이체,K2,81900,계약확정,0,없음,1.0,국민카드,정상,46.578097091354984,
442,66366766,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K2,90900,계약확정,0,없음,5.0,농협은행,정상,46.488107289447335,
448,66218027,렌탈,Package,홈쇼핑/방송,2019-10-21,60,CMS,K2,81900,계약확정,0,없음,1.0,농협은행,정상,46.578097091354984,
457,66756495,렌탈,Promotion,영업방판,2019-10-21,60,CMS,K1,142200,계약확정,0,없음,4.0,농협은행,정상,46.4792878065235,
460,66423006,멤버십,TAS,렌탈재계약,2019-10-21,12,CMS,K1,66900,해약확정,0,없음,5.0,국민은행,해약,47.27305833579144,
484,66754145,렌탈,Normal,서비스 방문,2019-10-21,60,CMS,K2,87900,계약확정,0,없음,2.0,우체국,정상,46.553406578315,
507,66758687,렌탈,Package,홈쇼핑/방송,2019-10-21,60,CMS,K2,81900,계약확정,0,없음,7.0,농협은행,정상,46.451007413720596,
521,66758556,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K1,105900,계약확정,0,없음,1.0,전북은행,정상,46.56406149095129,
538,66758857,렌탈,Promotion,전자랜드,2019-10-21,60,카드이체,K1,96900,계약확정,0,없음,4.0,롯데카드,정상,46.505780002285476,
543,66549437,렌탈,Promotion,일반,2019-10-21,60,카드이체,K1,96900,계약확정,0,없음,3.0,롯데카드,정상,46.52696161522454,
549,66754005,렌탈,Normal,일반,2019-10-21,60,CMS,K1,96900,계약확정,0,없음,8.0,국민은행,정상,46.421053550529216,
558,66758845,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K2,90900,계약확정,0,없음,4.0,신한은행,정상,46.5092889023864,
568,66758335,렌탈,Normal,서비스 방문,2019-10-21,36,CMS,K2,102900,계약확정,0,없음,5.0,농협은행,정상,46.86654721221569,
573,66423473,멤버십,TAS,렌탈재계약,2019-10-21,12,CMS,K1,66900,계약확정,0,없음,6.0,국민은행,정상,47.25187672285237,
663,66758744,렌탈,Package,홈쇼핑/방송,2019-10-21,60,카드이체,K1,81900,계약확정,0,없음,4.0,국민카드,정상,46.51455225253779,
704,66318205,렌탈,Extension_Rental,서비스 방문,2019-10-22,60,카드이체,K1,102900,계약확정,0,없음,6.0,BC카드,정상,46.459907876306424,
714,66758459,렌탈,Normal,홈쇼핑/방송,2019-10-22,60,CMS,K1,96900,계약확정,0,없음,6.0,농협은행,정상,46.46341677640735,
716,66758490,렌탈,Normal,홈쇼핑/방송,2019-10-22,60,CMS,K1,96900,계약확정,1,있음,8.0,새마을금고,정상,46.421053550529216,
744,66643291,렌탈,Promotion,서비스 방문,2019-10-22,60,카드이체,K3,90900,계약확정,0,없음,4.0,롯데카드,정상,46.5092889023864,
763,66759136,렌탈,Promotion,전자랜드,2019-10-22,60,CMS,K1,96900,계약확정,0,없음,4.0,신한은행,정상,46.505780002285476,
775,66748351,렌탈,Package,홈쇼핑/방송,2019-10-22,60,카드이체,K1,98400,계약확정,0,없음,5.0,롯데카드,정상,46.48372116432118,
846,66759515,렌탈,Normal,홈쇼핑/방송,2019-10-22,60,카드이체,K1,96900,계약확정,0,없음,4.0,롯데카드,정상,46.505780002285476,
850,66759193,렌탈,Promotion,서비스 방문,2019-10-22,60,CMS,K3,90900,계약확정,0,없음,4.0,국민은행,정상,46.5092889023864,
867,66759001,렌탈,Promotion,R인터넷,2019-10-22,60,CMS,K1,96900,계약확정,0,없음,1.0,광주은행,정상,46.56932484110268,
868,66758926,렌탈,Normal,렌탈총판,2019-10-22,60,CMS,K1,108900,계약확정,0,없음,4.0,새마을금고,정상,46.49876220208363,
922,66423882,멤버십,TAS,렌탈재계약,2019-10-22,12,CMS,K1,66900,계약확정,0,없음,2.0,농협은행,정상,47.33660317460863,
929,66862854,렌탈,Package,서비스 방문,2019-10-22,60,CMS,K1,98400,해약확정,0,없음,5.0,신한은행,해약,46.48372116432118,
937,66759262,렌탈,Package,홈쇼핑/방송,2019-10-22,60,카드이체,K1,81900,계약확정,0,없음,6.0,롯데카드,정상,46.472189026659656,
970,66759186,렌탈,Normal,서비스 방문,2019-10-22,60,카드이체,K1,96900,계약확정,0,없음,1.0,롯데카드,정상,46.56932484110268,
990,66545279,렌탈,Promotion,서비스 방문,2019-10-22,60,CMS,K2,90900,계약확정,0,없음,3.0,부산은행,정상,46.53047051532547,
1019,66758418,렌탈,Promotion,서비스 방문,2019-10-22,60,CMS,K1,111900,계약확정,0,없음,5.0,신한은행,정상,46.4758261390941,
1050,66423916,멤버십,TAS,렌탈재계약,2019-10-22,12,CMS,K1,66900,해약확정,0,없음,5.0,우리은행,해약,47.27305833579144,
1077,66759153,렌탈,Promotion,영업방판,2019-10-22,39,카드이체,K5,120900,계약확정,0,없음,6.0,롯데카드,정상,46.78665668360258,
1084,66745358,렌탈,Promotion,홈쇼핑/방송,2019-10-22,60,카드이체,K1,105900,계약확정,0,없음,7.0,롯데카드,정상,46.4369718133169,
1090,66759593,렌탈,Package,렌탈총판,2019-10-22,60,카드이체,K1,134700,계약확정,0,없음,2.0,롯데카드,정상,46.52603715752779,
1114,66758605,렌탈,Package,홈쇼핑/방송,2019-10-22,60,카드이체,K1,81900,계약확정,0,없음,1.0,롯데카드,정상,46.578097091354984,
1117,66759509,렌탈,Package,홈쇼핑/방송,2019-10-22,60,CMS,K2,81900,계약확정,0,없음,9.0,신한은행,정상,46.40864418784246,
1120,66212579,렌탈,Extension_Rental,서비스 방문,2019-10-22,60,CMS,K1,96900,계약확정,0,없음,5.0,국민은행,정상,46.48459838934642,
1152,66254712,렌탈,Extension_Rental,서비스 방문,2019-10-22,60,CMS,K1,84900,계약확정,0,없음,1.0,기업은행,정상,46.57634264130452,
1167,66759061,렌탈,Normal,서비스 방문,2019-10-22,60,CMS,K1,96900,계약확정,0,없음,2.0,신한은행,정상,46.54814322816361,
1197,66758136,렌탈,Promotion,서비스 방문,2019-10-22,60,CMS,K2,90900,계약확정,0,없음,7.0,롯데카드,정상,46.44574406356921,
1207,66759101,렌탈,Package,홈쇼핑/방송,2019-10-22,60,CMS,K2,81900,계약확정,0,없음,1.0,국민은행,정상,46.578097091354984,
1235,66757554,렌탈,Promotion,일반,2019-10-22,60,CMS,K1,96900,계약확정,0,없음,4.0,국민은행,정상,46.505780002285476,
1236,66759184,렌탈,Promotion,렌탈총판,2019-10-22,60,카드이체,K1,105900,계약확정,0,없음,1.0,BC카드,정상,46.56406149095129,
1261,66759535,렌탈,Promotion,서비스 방문,2019-10-22,60,CMS,K2,90900,계약확정,0,없음,4.0,농협은행,정상,46.5092889023864,
1266,66755691,렌탈,Promotion,서비스 방문,2019-10-22,60,CMS,K1,105900,계약확정,0,없음,3.0,국민은행,정상,46.52169826507316,
1274,66320836,렌탈,Normal,홈쇼핑/방송,2019-10-22,36,카드이체,K1,96900,계약확정,0,없음,7.0,국민카드,정상,46.827692886438484,
1282,66195211,렌탈,Extension_Rental,서비스 방문,2019-10-22,60,카드이체,K1,96900,계약확정,0,없음,7.0,롯데카드,정상,46.44223516346828,
1312,66300982,렌탈,Extension_Rental,서비스 방문,2019-10-22,60,카드이체,K1,96900,계약확정,0,없음,1.0,롯데카드,정상,46.56932484110268,
1323,66759329,렌탈,Promotion,전자랜드,2019-10-22,60,CMS,K1,105900,계약확정,0,없음,2.0,우리은행,정상,46.54287987801222,
1352,66759236,렌탈,Normal,서비스 방문,2019-10-22,60,카드이체,K2,87900,계약확정,0,없음,2.0,롯데카드,정상,46.553406578315,
1356,66754246,렌탈,Package,전자랜드,2019-10-22,60,카드이체,K1,81900,계약확정,0,없음,2.0,롯데카드,정상,46.55691547841592,
1364,66758491,렌탈,Normal,서비스 방문,2019-10-22,60,CMS,K1,96900,계약확정,0,없음,3.0,국민은행,정상,46.52696161522454,
1367,66759352,렌탈,Normal,홈쇼핑/방송,2019-10-22,60,CMS,K1,96900,계약확정,0,없음,5.0,신한은행,정상,46.48459838934642,
1382,66758513,렌탈,Normal,서비스 방문,2019-10-22,60,CMS,K1,124200,계약확정,0,없음,6.0,농협은행,정상,46.447451280948144,
1430,66757143,렌탈,Package,홈쇼핑/방송,2019-10-22,60,CMS,K1,81900,계약확정,0,없음,1.0,신한은행,정상,46.578097091354984,
1443,66758181,렌탈,Package,홈쇼핑/방송,2019-10-22,60,카드이체,K1,81900,계약확정,0,없음,2.0,롯데카드,정상,46.55691547841592,
1451,66759194,렌탈,Package,홈쇼핑/방송,2019-10-22,60,CMS,K2,81900,계약확정,0,없음,8.0,농협은행,정상,46.42982580078153,
1487,66755880,렌탈,Promotion,서비스 방문,2019-10-23,60,CMS,K2,90900,계약확정,0,없음,1.0,대구은행,정상,46.5728337412036,
1513,66759126,렌탈,Package,홈쇼핑/방송,2019-10-23,60,카드이체,K1,81900,계약확정,0,없음,3.0,롯데카드,정상,46.53573386547686,
1516,66759652,렌탈,Package,홈쇼핑/방송,2019-10-23,60,CMS,K2,81900,계약확정,0,없음,1.0,우리은행,정상,46.578097091354984,
1546,66466141,렌탈,Promotion,서비스 방문,2019-10-23,60,CMS,K3,90900,계약확정,0,없음,6.0,국민은행,정상,46.466925676508275,
1558,66759886,렌탈,Package,홈쇼핑/방송,2019-10-23,60,CMS,K2,81900,계약확정,0,없음,2.0,우리은행,정상,46.55691547841592,
1591,66758268,렌탈,Normal,서비스 방문,2019-10-23,60,CMS,K2,105900,계약확정,5,있음,4.0,경남은행,정상,46.500516652134095,
1597,66759924,렌탈,Package,하이마트,2019-10-23,60,CMS,K1,81900,계약확정,0,없음,5.0,신한은행,정상,46.49337063959872,
1618,66758538,렌탈,Normal,홈쇼핑/방송,2019-10-23,60,CMS,K1,96900,계약확정,0,없음,8.0,신한은행,정상,46.421053550529216,
1650,66759434,렌탈,Package,홈쇼핑/방송,2019-10-23,60,CMS,K2,81900,계약확정,0,없음,1.0,하나은행,정상,46.578097091354984,
1720,66759744,렌탈,Package,홈쇼핑/인터넷,2019-10-23,60,카드이체,K1,81900,계약확정,0,없음,2.0,롯데카드,정상,46.55691547841592,
1736,66177415,렌탈,Extension_Rental,서비스 방문,2019-10-23,60,CMS,K1,96900,계약확정,0,없음,1.0,국민은행,정상,46.56932484110268,
1757,66760164,렌탈,Package,홈쇼핑/방송,2019-10-23,60,카드이체,K2,81900,계약확정,0,없음,6.0,삼성카드,정상,46.472189026659656,
1794,66470046,렌탈,Promotion,서비스 방문,2019-10-23,60,CMS,K3,90900,계약확정,0,없음,4.0,하나은행,정상,46.5092889023864,
1811,66759838,렌탈,Promotion,영업방판,2019-10-23,60,카드이체,K1,111900,계약확정,0,없음,3.0,롯데카드,정상,46.51818936497224,
1827,66759731,렌탈,Normal,렌탈총판,2019-10-23,60,카드이체,K1,96900,계약확정,0,없음,2.0,롯데카드,정상,46.54814322816361,
1835,66759978,렌탈,Promotion,하이마트,2019-10-23,60,CMS,K1,96900,계약확정,0,없음,5.0,국민은행,정상,46.48459838934642,
1841,66759651,렌탈,Package,홈쇼핑/방송,2019-10-23,60,카드이체,K1,81900,계약확정,0,없음,5.0,롯데카드,정상,46.49337063959872,
1872,66585260,렌탈,Promotion,서비스 방문,2019-10-23,60,CMS,K2,90900,계약확정,1,있음,4.0,농협은행,정상,46.5092889023864,
1873,66759934,렌탈,Normal,홈쇼핑/방송,2019-10-23,60,카드이체,K1,96900,계약확정,0,없음,5.0,롯데카드,정상,46.48459838934642,
1877,66760207,렌탈,Package,홈쇼핑/방송,2019-10-23,60,카드이체,K1,81900,계약확정,0,없음,1.0,롯데카드,정상,46.578097091354984,
1893,66759873,렌탈,Promotion,홈쇼핑/인터넷,2019-10-23,60,카드이체,K1,105900,계약확정,0,없음,6.0,롯데카드,정상,46.45815342625596,
1964,66759950,렌탈,Promotion,렌탈총판,2019-10-23,60,카드이체,K1,105900,계약확정,0,없음,2.0,롯데카드,정상,46.54287987801222,
1986,66759082,렌탈,Promotion,서비스 방문,2019-10-23,60,CMS,K2,90900,계약확정,0,없음,1.0,농협은행,정상,46.5728337412036,
1993,66759306,렌탈,Normal,서비스 방문,2019-10-23,60,CMS,K2,87900,계약확정,0,없음,1.0,국민은행,정상,46.57458819125406,
2032,66759277,렌탈,Normal,서비스 방문,2019-10-23,60,CMS,K1,96900,계약확정,0,없음,2.0,농협은행,정상,46.54814322816361,
2063,66757214,렌탈,Promotion,홈쇼핑/방송,2019-10-23,60,CMS,K1,96900,계약확정,0,없음,7.0,농협은행,정상,46.44223516346828,
2071,66759939,렌탈,Package,홈쇼핑/방송,2019-10-23,60,CMS,K2,81900,계약확정,0,없음,1.0,국민은행,정상,46.578097091354984,
2090,66759631,렌탈,Promotion,영업방판,2019-10-23,60,CMS,K1,105900,계약확정,0,없음,2.0,우리은행,정상,46.54287987801222,
2114,66746173,렌탈,Package,홈쇼핑/방송,2019-10-23,60,카드이체,K2,80400,계약확정,0,없음,2.0,롯데카드,정상,46.55779270344115,
2171,66760381,렌탈,Normal,홈쇼핑/방송,2019-10-24,60,카드이체,K1,96900,계약확정,0,없음,1.0,롯데카드,정상,46.56932484110268,
2192,66545993,렌탈,Extension_Rental,서비스 방문,2019-10-24,60,카드이체,K1,96900,계약확정,0,없음,4.0,롯데카드,정상,46.505780002285476,
2205,66760199,렌탈,Package,홈쇼핑/방송,2019-10-24,60,CMS,K2,81900,계약확정,0,없음,5.0,신한은행,정상,46.49337063959872,
2236,66757250,렌탈,Package,홈쇼핑/방송,2019-10-24,60,CMS,K2,81900,계약확정,0,없음,4.0,하나은행,정상,46.51455225253779,
2244,66760636,렌탈,Package,홈쇼핑/방송,2019-10-24,60,CMS,K1,81900,계약확정,0,없음,9.0,농협은행,정상,46.40864418784246,
2256,66425598,렌탈,Extension_Rental,서비스 방문,2019-10-24,60,카드이체,K1,96900,계약확정,0,없음,6.0,롯데카드,정상,46.46341677640735,
2279,66311861,멤버십,TAS,렌탈재계약,2019-10-24,12,CMS,K1,66900,계약확정,0,없음,3.0,국민은행,정상,47.31542156166957,
2294,66758487,렌탈,Promotion,서비스 방문,2019-10-24,39,CMS,K5,120900,계약확정,0,없음,4.0,농협은행,정상,46.829019909480714,
2299,66758554,렌탈,Promotion,하이마트,2019-10-24,60,CMS,K1,111900,계약확정,0,없음,1.0,국민은행,정상,46.560552590850364,
2301,66760584,렌탈,Package,홈쇼핑/방송,2019-10-24,60,CMS,K1,81900,계약확정,1,있음,6.0,국민은행,정상,46.472189026659656,
2345,66544392,렌탈,Promotion,서비스 방문,2019-10-24,60,카드이체,K2,90900,계약확정,0,없음,2.0,롯데카드,정상,46.551652128264536,
2357,66760633,렌탈,Promotion,렌탈총판,2019-10-24,60,CMS,K1,105900,계약확정,0,없음,6.0,국민은행,정상,46.45815342625596,
2366,66760113,렌탈,Promotion,하이마트,2019-10-24,60,CMS,K1,111900,계약확정,0,없음,3.0,우리은행,정상,46.51818936497224,
2399,66226027,렌탈,Extension_Rental,서비스 방문,2019-10-24,60,CMS,K1,96900,계약확정,0,없음,5.0,농협은행,정상,46.48459838934642,
2418,66723017,렌탈,Promotion,서비스 방문,2019-10-24,60,CMS,K2,90900,계약확정,1,있음,7.0,기업은행,정상,46.44574406356921,
2428,66760518,렌탈,Promotion,서비스 방문,2019-10-24,60,CMS,K2,90900,계약확정,0,없음,3.0,국민은행,정상,46.53047051532547,
2472,66759248,렌탈,Normal,홈쇼핑/방송,2019-10-24,60,CMS,K1,96900,계약확정,0,없음,5.0,우리은행,정상,46.48459838934642,
2494,66760288,렌탈,Promotion,하이마트,2019-10-24,60,카드이체,K1,111900,계약확정,0,없음,1.0,롯데카드,정상,46.560552590850364,
2520,66756513,렌탈,Promotion,렌탈총판,2019-10-24,60,CMS,K1,105900,계약확정,0,없음,1.0,국민은행,정상,46.56406149095129,
2545,66760290,렌탈,Normal,서비스 방문,2019-10-24,60,CMS,K1,96900,계약확정,0,없음,5.0,농협은행,정상,46.48459838934642,
2548,66758531,렌탈,Normal,서비스 방문,2019-10-24,60,CMS,K2,110700,계약확정,0,없음,7.0,농협은행,정상,46.434164693236156,
2562,66267971,멤버십,TAS,렌탈재계약,2019-10-24,12,CMS,K1,66900,계약확정,0,없음,3.0,국민은행,,47.31542156166957,
2639,66758838,렌탈,Promotion,영업방판,2019-10-24,39,카드이체,K5,120900,계약확정,0,없음,1.0,롯데카드,정상,46.89256474829791,
2642,66500045,렌탈,Extension_Rental,서비스 방문,2019-10-24,60,CMS,K1,96900,계약확정,0,없음,1.0,국민은행,정상,46.56932484110268,
2665,66289570,렌탈,Package,홈쇼핑/방송,2019-10-24,60,카드이체,K2,81900,계약확정,0,없음,6.0,국민카드,정상,46.472189026659656,
2684,66658695,렌탈,Package,홈쇼핑/방송,2019-10-24,60,카드이체,K1,81900,계약확정,0,없음,3.0,신한카드,정상,46.53573386547686,
2686,66760082,렌탈,Promotion,서비스 방문,2019-10-24,39,카드이체,K5,120900,계약확정,0,없음,3.0,롯데카드,정상,46.85020152241977,
2699,66760191,렌탈,Package,서비스 방문,2019-10-24,60,CMS,K2,89400,계약확정,0,없음,5.0,국민은행,정상,46.48898451447257,
2703,66760702,렌탈,Promotion,영업방판,2019-10-24,60,카드이체,K1,105900,계약확정,0,없음,1.0,롯데카드,정상,46.56406149095129,
2739,66758265,렌탈,Package,서비스 방문,2019-10-24,60,카드이체,K1,98400,계약확정,0,없음,1.0,롯데카드,정상,46.56844761607744,
2746,66760731,렌탈,Promotion,하이마트,2019-10-24,60,CMS,K1,105900,계약확정,0,없음,1.0,경남은행,정상,46.56406149095129,
2764,66166462,렌탈,Package,홈쇼핑/방송,2019-10-24,60,카드이체,K1,81900,계약확정,0,없음,2.0,현대카드,정상,46.55691547841592,
2771,66423845,멤버십,TAS,렌탈재계약,2019-10-24,12,CMS,K1,66900,계약확정,0,없음,4.0,농협은행,정상,47.2942399487305,
2772,66757512,렌탈,Package,홈쇼핑/방송,2019-10-24,60,카드이체,K1,81900,계약확정,0,없음,2.0,롯데카드,정상,46.55691547841592,
2783,66760462,렌탈,Package,홈쇼핑/방송,2019-10-24,60,CMS,K2,81900,계약확정,0,없음,6.0,신한은행,정상,46.472189026659656,
2826,66760230,렌탈,Package,홈쇼핑/방송,2019-10-24,60,카드이체,K2,81900,계약확정,0,없음,1.0,롯데카드,정상,46.578097091354984,
2859,66758669,렌탈,Normal,홈쇼핑/방송,2019-10-25,60,CMS,K1,96900,계약확정,0,없음,1.0,우리은행,정상,46.56932484110268,
2865,66356084,렌탈,Promotion,일반,2019-10-25,60,CMS,K1,96900,계약확정,0,없음,3.0,하나은행,정상,46.52696161522454,
2913,66760292,렌탈,Promotion,홈쇼핑/방송,2019-10-25,60,CMS,K1,96900,계약확정,0,없음,1.0,국민은행,정상,46.56932484110268,
2914,66758100,렌탈,Normal,서비스 방문,2019-10-25,60,카드이체,K1,87900,계약확정,0,없음,1.0,롯데카드,정상,46.57458819125406,
2940,66759949,렌탈,Package,홈쇼핑/방송,2019-10-25,60,카드이체,K1,81900,계약확정,0,없음,1.0,롯데카드,정상,46.578097091354984,
2943,66760070,렌탈,Package,홈쇼핑/방송,2019-10-25,60,CMS,K2,81900,계약확정,0,없음,6.0,농협은행,정상,46.472189026659656,
2980,66758347,렌탈,Promotion,서비스 방문,2019-10-25,60,카드이체,K2,90900,계약확정,0,없음,3.0,롯데카드,정상,46.53047051532547,
2993,66642630,렌탈,Promotion,서비스 방문,2019-10-25,60,CMS,K3,90900,계약확정,0,없음,5.0,국민은행,정상,46.488107289447335,
3001,66758310,렌탈,Promotion,전자랜드,2019-10-25,60,카드이체,K1,96900,계약확정,0,없음,1.0,롯데카드,정상,46.56932484110268,
3007,66758591,렌탈,Promotion,하이마트,2019-10-25,60,CMS,K1,96900,계약확정,0,없음,4.0,우리은행,정상,46.505780002285476,
3014,66716844,렌탈,Promotion,서비스 방문,2019-10-25,60,CMS,K2,90900,계약확정,0,없음,5.0,농협은행,정상,46.488107289447335,
3032,66755464,렌탈,Package,홈쇼핑/방송,2019-10-25,60,카드이체,K2,81900,계약확정,0,없음,2.0,신한카드,정상,46.55691547841592,
3062,66760917,렌탈,Package,홈쇼핑/방송,2019-10-25,60,카드이체,K2,81900,계약확정,0,없음,3.0,롯데카드,정상,46.53573386547686,
3073,66759522,렌탈,Package,홈쇼핑/방송,2019-10-25,60,카드이체,K2,81900,계약확정,0,없음,7.0,롯데카드,정상,46.451007413720596,
3076,66714727,렌탈,Promotion,서비스 방문,2019-10-25,60,카드이체,K2,90900,계약확정,0,없음,6.0,롯데카드,정상,46.466925676508275,
3093,66758990,렌탈,Promotion,홈쇼핑/방송,2019-10-25,60,카드이체,K1,105900,계약확정,0,없음,2.0,현대카드,정상,46.54287987801222,
3126,66760919,렌탈,Package,홈쇼핑/방송,2019-10-25,60,카드이체,K2,81900,계약확정,0,없음,1.0,신한카드,정상,46.578097091354984,
3133,66760922,렌탈,Package,홈쇼핑/방송,2019-10-25,60,카드이체,K1,81900,계약확정,0,없음,2.0,신한카드,정상,46.55691547841592,
3159,66759975,렌탈,Normal,서비스 방문,2019-10-25,60,CMS,K2,96900,계약확정,0,없음,2.0,국민은행,정상,46.54814322816361,
3224,66759373,렌탈,Package,홈쇼핑/방송,2019-10-25,60,카드이체,K1,81900,계약확정,0,없음,4.0,롯데카드,정상,46.51455225253779,
3277,66444669,렌탈,Promotion,서비스 방문,2019-10-25,60,CMS,K1,105900,계약확정,0,없음,2.0,국민은행,정상,46.54287987801222,
3312,66760989,렌탈,Package,홈쇼핑/방송,2019-10-25,60,CMS,K1,81900,계약확정,0,없음,1.0,우리은행,정상,46.578097091354984,
3342,66757841,렌탈,Package,홈쇼핑/방송,2019-10-25,60,카드이체,K2,81900,계약확정,0,없음,3.0,롯데카드,정상,46.53573386547686,
3380,66423128,멤버십,TAS,렌탈재계약,2019-10-25,12,CMS,K1,66900,계약확정,0,없음,4.0,농협은행,정상,47.2942399487305,
3429,66760743,렌탈,Normal,렌탈총판,2019-10-25,60,CMS,K1,96900,계약확정,0,없음,5.0,국민은행,정상,46.48459838934642,
3447,66187999,렌탈,Package,서비스 방문,2019-10-25,60,CMS,K1,98400,계약확정,1,있음,7.0,국민은행,정상,46.441357938443055,
3450,66674105,렌탈,Promotion,서비스 방문,2019-10-25,60,카드이체,K2,90900,계약확정,0,없음,7.0,롯데카드,정상,46.44574406356921,
3462,66760533,렌탈,Normal,홈쇼핑/방송,2019-10-25,60,CMS,K1,96900,계약확정,0,없음,7.0,신한은행,정상,46.44223516346828,
3469,66760916,렌탈,Package,홈쇼핑/방송,2019-10-25,60,카드이체,K2,81900,계약확정,0,없음,5.0,롯데카드,정상,46.49337063959872,
3474,66760350,렌탈,Package,서비스 방문,2019-10-25,60,CMS,K2,89400,계약확정,0,없음,1.0,국민은행,정상,46.57371096622883,
3487,66758499,렌탈,Package,홈쇼핑/방송,2019-10-25,60,CMS,K1,81900,계약확정,0,없음,5.0,국민은행,정상,46.49337063959872,
3503,66210216,렌탈,Extension_Rental,서비스 방문,2019-10-25,60,CMS,K1,96900,계약확정,0,없음,7.0,농협은행,정상,46.44223516346828,
3505,66760697,렌탈,Package,홈쇼핑/방송,2019-10-25,60,CMS,K2,81900,계약확정,0,없음,1.0,농협은행,정상,46.578097091354984,
3525,66424057,멤버십,TAS,렌탈재계약,2019-10-25,12,CMS,K1,66900,계약확정,0,없음,3.0,국민은행,정상,47.31542156166957,
3536,66342006,렌탈,Extension_Rental,서비스 방문,2019-10-25,60,CMS,K1,84900,계약확정,0,없음,6.0,농협은행,정상,46.47043457660919,
3559,66760005,렌탈,Package,홈쇼핑/방송,2019-10-25,60,카드이체,K1,81900,계약확정,0,없음,2.0,롯데카드,정상,46.55691547841592,
3574,66761091,렌탈,Package,홈쇼핑/방송,2019-10-25,60,CMS,K2,81900,계약확정,0,없음,5.0,새마을금고,정상,46.49337063959872,
3634,66759802,렌탈,Normal,렌탈총판,2019-10-25,60,CMS,K1,96900,계약확정,0,없음,3.0,국민은행,정상,46.52696161522454,
3658,66758994,렌탈,Promotion,서비스 방문,2019-10-26,60,CMS,K2,90900,계약확정,0,없음,3.0,농협은행,정상,46.53047051532547,
3680,66717597,렌탈,Normal,홈쇼핑/방송,2019-10-26,60,카드이체,K1,105900,계약확정,0,없음,6.0,롯데카드,정상,46.45815342625596,
3683,66131616,렌탈,Extension_Rental,서비스 방문,2019-10-26,60,CMS,K4,120900,계약확정,0,없음,7.0,기업은행,정상,46.42819956306459,
3728,66760749,렌탈,Package,홈쇼핑/방송,2019-10-27,60,CMS,K2,81900,계약확정,0,없음,4.0,기업은행,정상,46.51455225253779,
3740,66760719,렌탈,Normal,서비스 방문,2019-10-27,60,CMS,K1,105900,계약확정,0,없음,2.0,농협은행,정상,46.54287987801222,
3758,66760882,렌탈,Promotion,영업방판,2019-10-27,39,CMS,K5,120900,계약확정,0,없음,6.0,농협은행,정상,46.78665668360258,
3788,66760393,렌탈,Normal,렌탈총판,2019-10-27,60,CMS,K1,105900,계약확정,0,없음,8.0,우리은행,정상,46.415790200377835,
